participant,pre_threshold_mean,pre_threshold_mode,pre_threshold_median,post_threshold_mean,post_threshold_mode,post_threshold_median,delta_threshold_mean,delta_threshold_mode,delta_threshold_median,pre_threshold_mean_last5,pre_threshold_mode_last5,pre_threshold_median_last5,post_threshold_mean_last5,post_threshold_mode_last5,post_threshold_median_last5,delta_threshold_mean_last5,delta_threshold_mode_last5,delta_threshold_median_last5
788879_Utility_discrimination_2024_2cat_2025-03-15_15h55.58.904,0.06425683790103191,0.060000000000000005,0.0581059582410562,0.10310878853177977,0.1,0.09736392356783738,-0.03885195063074785,-0.04,-0.03925796532678118,-0.06592113037873709,-0.09,-0.08698204299274429,-0.07540944209301881,-0.07,-0.08402138110691515,0.009488311714281716,-0.01999999999999999,-0.0029606618858291356
509243_Utility_discrimination_2024_2cat_2025-03-14_00h08.13.599,1.0643702062057718,1.06,1.057165839528564,1.364334931361667,1.35,1.3558435875693842,-0.29996472515589523,-0.29000000000000004,-0.29867774804082026,1.0832578482346882,1.06,1.0772475215473598,0.08571041356750178,0.1,0.08599099183348628,0.9975474346671864,0.9600000000000001,0.9912565297138736
951473_Utility_discrimination_2024_2cat_2025-03-16_19h39.11.089,1.8732394997692856,1.85,1.8607717529954855,2.006405279385437,1.9900000000000002,1.9942844629942764,-0.1331657796161514,-0.14000000000000012,-0.13351270999879095,0.09981764202776162,0.1,0.09493331032278941,0.09926250600187925,0.1,0.09461052314200377,0.0005551360258823773,0.0,0.0003227871807856414
485127_Utility_discrimination_2024_2cat_2025-03-17_23h23.40.430,0.2590338974175501,0.26,0.25296948356724,0.5229143915396788,0.52,0.5171544914756392,-0.26388049412212866,-0.26,-0.26418500790839916,0.4105596077380703,0.33,0.3800024763886548,0.009820701480777572,0.09000000000000001,0.02375278327593207,0.40073890625729275,0.24,0.35624969311272275
225967_Utility_discrimination_2024_2cat_2025-03-14_00h37.01.876,1.925545707877644,1.9000000000000001,1.912541625036882,1.8930838803107213,1.87,1.881252945971653,0.03246182756692262,0.030000000000000027,0.03128867906522914,0.2857039577986614,0.1,0.14049005745888793,0.09997720037843215,0.1,0.09499028991336025,0.18572675742022926,0.0,0.045499767545527675
775537_Utility_discrimination_2024_2cat_2025-03-17_14h12.46.286,0.1505375113748444,0.15000000000000002,0.1450697673548538,0.14847368794220375,0.15000000000000002,0.1428338326355931,0.002063823432640638,0.0,0.0022359347192607015,-0.10670727487680373,-0.04000000000000001,-0.09561460365574784,0.2907097932739965,0.21000000000000002,0.2681121874834197,-0.39741706815080025,-0.25,-0.3637267911391675
649603_Utility_discrimination_2024_2cat_2025-03-15_16h48.20.064,0.30863336099860245,0.31,0.3030627473278744,0.3190429779185278,0.32,0.31331607785115845,-0.010409616919925369,-0.010000000000000009,-0.010253330523284032,0.1966537917475493,0.15000000000000002,0.17450041552582907,-0.06780335530530007,0.0,-0.05577432614262662,0.2644571470528494,0.15000000000000002,0.23027474166845568
516600_Utility_discrimination_2024_2cat_2025-03-12_14h14.48.442,0.18510198847175438,0.18,0.17950740330329434,1.7826477082225076,1.7600000000000002,1.7694800010794465,-1.5975457197507532,-1.5800000000000003,-1.589972597776152,-0.10846450639514194,-0.06,-0.10751751585923833,0.3015409591546887,0.26,0.2814796696519667,-0.41000546554983064,-0.32,-0.388997185511205
215334_Utility_discrimination_2024_2cat_2025-03-15_20h35.35.895,0.682646286495899,0.67,0.6736177902614814,1.7994376257877032,1.77,1.785914928889977,-1.116791339291804,-1.1,-1.1122971386284957,0.5037634798443141,0.45999999999999996,0.4833915485741086,1.5221711926136585,1.56,1.5607632896952421,-1.0184077127693443,-1.1,-1.0773717411211337
249109_Utility_discrimination_2024_2cat_2025-03-17_10h37.42.839,0.7140543407052611,0.71,0.7072580392922047,0.6604594834716491,0.66,0.6538276629394311,0.053594857233612014,0.04999999999999993,0.05343037635277359,-0.04773537580026346,0.03,-0.03572354335904354,0.2194885717203966,0.17,0.19805158847381932,-0.26722394752066003,-0.14,-0.23377513183286286
