participant,feature_index,pre_threshold_mean,pre_threshold_mode,pre_threshold_median,post_threshold_mean,post_threshold_mode,post_threshold_median,delta_threshold_mean,delta_threshold_mode,delta_threshold_median,pre_threshold_mean_last5,pre_threshold_mode_last5,pre_threshold_median_last5,post_threshold_mean_last5,post_threshold_mode_last5,post_threshold_median_last5,delta_threshold_mean_last5,delta_threshold_mode_last5,delta_threshold_median_last5
951473_Utility_discrimination_2024_2cat_2025-03-16_19h39.11.089,0,1.669873900650159,1.7000000000000002,1.6752698614805734,1.746755227139522,1.78,1.7465177119636968,-0.07688132648936286,-0.07999999999999985,-0.07124785048312332,0.10001221726086765,0.1,0.09500124220225621,0.09903552613721367,0.1,0.09455022895985657,0.0009766911236539777,0.0,0.00045101324239964213
485127_Utility_discrimination_2024_2cat_2025-03-17_23h23.40.430,0,0.3302459211476053,0.26,0.2964839643585091,0.5321367205558548,0.52,0.5235253814391081,-0.2018907994082495,-0.26,-0.227041417080599,0.33797298957980826,0.30000000000000004,0.33401448434852243,-0.0025824029210842203,0.08,0.012401315128032733,0.3405553925008925,0.22000000000000003,0.3216131692204897
225967_Utility_discrimination_2024_2cat_2025-03-14_00h37.01.876,0,1.7360216505795374,1.7100000000000002,1.7220881093126044,1.3774609646135776,1.3,1.3472821933517771,0.3585606859659598,0.41000000000000014,0.37480591596082724,0.9673139088761668,1.7000000000000002,1.5967416049104013,0.378917477021697,1.2300000000000002,0.21939965012195686,0.5883964318544698,0.47,1.3773419547884445
775537_Utility_discrimination_2024_2cat_2025-03-17_14h12.46.286,0,0.16313302441488528,0.16,0.15533404930067995,0.10071399578953584,0.09000000000000001,0.09350041017784584,0.06241902862534944,0.06999999999999999,0.061833639122834114,-0.09247640431831583,-0.009999999999999995,-0.07843836711582575,-0.07085371492245948,-0.04999999999999999,-0.07709548802991961,-0.021622689395856348,0.039999999999999994,-0.0013428790859061346
649603_Utility_discrimination_2024_2cat_2025-03-15_16h48.20.064,0,0.2518014767162018,0.24000000000000002,0.2434544496553303,0.22453087590639825,0.22,0.21672108213799407,0.027270600809803536,0.020000000000000018,0.026733367517336237,0.4465161962094929,0.37,0.415300237169299,-0.09004422453700145,-0.009999999999999995,-0.07614308839148112,0.5365604207464943,0.38,0.4914433255607801
516600_Utility_discrimination_2024_2cat_2025-03-12_14h14.48.442,0,0.16950235382977596,0.16,0.1616960272702711,1.6678480303646779,1.6500000000000001,1.6554657454141513,-1.498345676534902,-1.4900000000000002,-1.4937697181438803,0.4215333893467642,0.33999999999999997,0.3923018614192725,0.02335441028126352,0.1,0.03373632550227511,0.3981789790655007,0.23999999999999996,0.35856553591699736
215334_Utility_discrimination_2024_2cat_2025-03-15_20h35.35.895,0,0.2174414900848654,0.21000000000000002,0.21036395413205328,1.6299002259485684,1.6,1.6160138991811979,-1.412458735863703,-1.3900000000000001,-1.4056499450491446,0.4236903128826335,0.35,0.39323216007385475,1.5982348380991256,1.58,1.5859093302210145,-1.174544525216492,-1.23,-1.1926771701471597
249109_Utility_discrimination_2024_2cat_2025-03-17_10h37.42.839,0,0.6751478817904606,0.67,0.6672319918415828,0.30192569816482584,0.29000000000000004,0.29062412526417514,0.37322218362563475,0.38,0.37660786657740764,0.45602857433160826,0.38,0.4267221931717142,0.2439147067497927,0.16,0.21853105699847675,0.21211386758181555,0.22,0.20819113617323748
699892_Utility_discrimination_2024_2cat_2025-03-15_14h12.47.943,0,0.16582614713454663,0.16,0.15739137121399216,-1.3980669543411512,-1.43,-1.4325796984588022,1.5638931014756978,1.5899999999999999,1.5899710696727944,0.2288043780770143,0.15000000000000002,0.1963113385820851,0.09961900090347664,0.1,0.09480863323980468,0.12918537717353765,0.05000000000000002,0.10150270534228042
639188_Utility_discrimination_2024_2cat_2025-03-17_13h17.01.639,0,0.11478706899495875,0.11,0.10769221021360345,0.3094224433042565,0.31,0.303940048107511,-0.19463537430929775,-0.2,-0.19624783789390757,0.2741513484701504,0.18,0.2408343315256099,0.3203839601698081,0.26,0.29372025948614744,-0.0462326116996577,-0.08000000000000002,-0.05288592796053754
872718_Utility_discrimination_2024_2cat_2025-03-18_22h58.34.246,0,1.6506287057028293,1.6300000000000001,1.6375605571227623,1.4809172145778178,1.4600000000000002,1.469608927884507,0.1697114911250115,0.16999999999999993,0.16795162923825524,1.3516170119463322,1.6300000000000001,1.6151516433186393,0.11704824323031737,0.1,0.09990850512428931,1.2345687687160147,1.53,1.5152431381943499
197640_Utility_discrimination_2024_2cat_2025-03-14_12h20.24.150,0,0.1999294897720345,0.19,0.19121219807488193,0.13659921366601027,0.13,0.12954075132695897,0.06333027610602424,0.06,0.061671446747922964,-0.1077985279337687,-0.04999999999999999,-0.09818872856022312,0.18234419426277626,0.1,0.14801118132327123,-0.29014272219654497,-0.15,-0.24619990988349436
227467_Utility_discrimination_2024_2cat_2025-03-13_18h34.20.777,0,-1.0906710521782381,-1.1099999999999999,-1.1023114972593653,-1.266248258200992,-1.15,-1.2600146434047788,0.17557720602275384,0.040000000000000036,0.15770314614541348,-0.0476327410021003,-0.18000000000000002,-0.08674301943535445,0.02831083759124868,-0.03,0.00903080488652501,-0.07594357859334898,-0.15000000000000002,-0.09577382432187946
171876_Utility_discrimination_2024_2cat_2025-03-15_10h05.58.976,0,0.21357590156785297,0.18,0.19286406105839632,0.11500939152500247,0.1,0.10539480418972583,0.0985665100428505,0.07999999999999999,0.08746925686867049,-0.010916676677594314,0.010000000000000009,-0.017814606230617286,-0.0995608005838603,-0.21,-0.13689592843150608,0.08864412390626598,0.22,0.1190813222008888
225967_Utility_discrimination_2024_2cat_2025-03-14_09h00.29.757,0,1.5854866496780742,1.57,1.5747821869746397,1.7732721613354225,1.7500000000000002,1.759950615402638,-0.18778551165734836,-0.18000000000000016,-0.1851684284279984,1.4379444482666284,1.4400000000000002,1.4401487888509101,0.10556545532208657,0.1,0.09627544172654504,1.3323789929445418,1.34,1.3438733471243651
772950_Utility_discrimination_2024_2cat_2025-03-15_00h31.52.114,0,0.13003487366279198,0.13,0.1234424333395901,0.4804128018880107,0.47,0.47291409246622906,-0.35037792822521874,-0.33999999999999997,-0.34947165912663897,0.23368043997385057,0.18,0.21039578571328588,0.5648508731814772,0.53,0.5476781339157918,-0.3311704332076266,-0.35000000000000003,-0.3372823482025059
838091_Utility_discrimination_2024_2cat_2025-03-13_21h26.42.203,0,0.2754439388952268,0.27,0.26718956059159127,0.2691712567228898,0.26,0.2607281893953709,0.006272682172337007,0.010000000000000009,0.006461371196220367,-0.05755755078492533,0.03,-0.04074867774664773,-0.0617385793293008,0.010000000000000009,-0.04773395692664345,0.004181028544375465,0.01999999999999999,0.006985279179995724
Nidhi_Shah_Utility_discrimination_2024_2cat_2025-03-19_21h14.14.065,0,1.9186310761825685,1.9100000000000001,1.9110383450582316,1.7658274270611207,1.7500000000000002,1.7543900410476263,0.15280364912144773,0.15999999999999992,0.15664830401060525,0.13302677841272847,0.1,0.10209619452462523,0.10840202533846792,0.1,0.09734210933557752,0.024624753074260555,0.0,0.004754085189047713
