participant,feature_index,pre_threshold_mean,pre_threshold_mode,pre_threshold_median,post_threshold_mean,post_threshold_mode,post_threshold_median,delta_threshold_mean,delta_threshold_mode,delta_threshold_median,pre_threshold_mean_last5,pre_threshold_mode_last5,pre_threshold_median_last5,post_threshold_mean_last5,post_threshold_mode_last5,post_threshold_median_last5,delta_threshold_mean_last5,delta_threshold_mode_last5,delta_threshold_median_last5,alpha_angle
953060_Utility_discrimination_2024_2cat_2025-03-17_16h04.09.188,1,0.2002197573585926,0.19,0.1923299087966661,0.3468642191655213,0.3399999999999999,0.3411114000627741,-0.1466444618069287,-0.1499999999999999,-0.1487814912661079,0.411724160941305,0.33,0.3808408177774115,0.5363465573834587,0.47,0.5120202372112642,-0.1246223964421536,-0.1399999999999999,-0.1311794194338527,22.5
537791_Utility_discrimination_2024_2cat_2025-03-14_20h45.35.085,1,0.2248819363857924,0.22,0.2170587734789216,0.2031784503590616,0.2,0.1954563119258898,0.0217034860267308,0.0199999999999999,0.0216024615530317,-0.082466687519795,-0.0099999999999999,-0.0684445977681136,-0.0915369109207342,-0.0099999999999999,-0.0774055437006913,0.0090702234009391,0.0,0.0089609459325777,22.5
501271_Utility_discrimination_2024_2cat_2025-03-14_15h23.42.123,1,0.2367721860835829,0.23,0.2275207709107345,0.1923542083599234,0.18,0.1845318700165308,0.0444179777236595,0.05,0.0429889008942037,0.4012530365329775,0.31,0.369963903262736,0.377718060940292,0.29,0.3449937345432115,0.0235349755926854,0.0199999999999999,0.0249701687195244,22.5
788879_Utility_discrimination_2024_2cat_2025-03-15_15h55.58.904,1,0.0652524329748633,0.06,0.0582049089810018,0.083115643920443,0.07,0.0748018212980002,-0.0178632109455796,-0.01,-0.0165969123169983,-0.0591108154556087,-0.07,-0.0753377110109422,-0.0750443236769271,-0.07,-0.0849100756174014,0.0159335082213183,0.0,0.0095723646064592,22.5
509243_Utility_discrimination_2024_2cat_2025-03-14_00h08.13.599,1,1.1240938738138415,1.09,1.1066764759552556,1.303675831837403,1.29,1.292753417266502,-0.1795819580235618,-0.1999999999999999,-0.1860769413112464,0.4099687385361764,0.5700000000000001,0.5217548218934491,0.1367882330801673,0.1,0.1064156397553395,0.2731805054560091,0.4700000000000001,0.4153391821381096,22.5
951473_Utility_discrimination_2024_2cat_2025-03-16_19h39.11.089,1,1.6494738767321608,1.64,1.6399919535478882,1.938595410309043,1.92,1.9262111835082252,-0.2891215335768822,-0.28,-0.2862192299603372,0.0997450639565405,0.1,0.0949085741179259,0.2468233438590935,0.1,0.1768037461137531,-0.1470782799025529,0.0,-0.0818951719958272,22.5
485127_Utility_discrimination_2024_2cat_2025-03-17_23h23.40.430,1,0.2552542390246839,0.24,0.2444866669243811,0.4517528338952874,0.44,0.4439636620520684,-0.1964985948706034,-0.2,-0.1994769951276872,0.2801573178605605,0.19,0.2498596909174397,0.3598629905587583,0.38,0.3855670717471866,-0.0797056726981978,-0.19,-0.1357073808297469,22.5
225967_Utility_discrimination_2024_2cat_2025-03-14_00h37.01.876,1,1.77323897646598,1.7500000000000002,1.7596065649738215,1.7719174377322358,1.78,1.7717703236800917,0.0013215387337441,-0.0299999999999998,-0.0121637587062699,0.1088696421407951,0.1,0.0970542217105012,0.8877637214817834,1.4700000000000002,1.3556175595012625,-0.7788940793409882,-1.37,-1.258563337790761,22.5
775537_Utility_discrimination_2024_2cat_2025-03-17_14h12.46.286,1,0.1345944660787198,0.13,0.1269277734808462,0.1297758564981053,0.12,0.1221721709379047,0.0048186095806145,0.0099999999999999,0.0047556025429414,0.3059830348368401,0.2,0.2681104595134294,0.3326543758614982,0.24,0.2995275393279197,-0.0266713410246581,-0.04,-0.0314170798144903,22.5
649603_Utility_discrimination_2024_2cat_2025-03-15_16h48.20.064,1,0.3141694158725964,0.3,0.3057462664625757,0.3352593181083395,0.32,0.3255290457517126,-0.021089902235743,-0.0199999999999999,-0.0197827792891368,0.1846272110622898,0.12,0.1557237291722775,0.5198443575791009,0.45,0.4935439916695887,-0.335217146516811,-0.33,-0.3378202624973112,22.5
516600_Utility_discrimination_2024_2cat_2025-03-12_14h14.48.442,1,0.1351372103166706,0.13,0.1286879939964612,0.9644275122992048,0.93,0.9472754758052796,-0.8292903019825343,-0.8,-0.8185874818088185,0.4452665924049379,0.37,0.4156949829250344,0.2940089451910064,0.23,0.2683717209189823,0.1512576472139315,0.1399999999999999,0.147323262006052,22.5
215334_Utility_discrimination_2024_2cat_2025-03-15_20h35.35.895,1,0.812894729722407,0.76,0.7898466731008892,1.5391291273048255,1.52,1.5263428558358805,-0.7262343975824186,-0.76,-0.7364961827349911,0.2794063580034479,0.18,0.240120554994739,0.5063530662777909,1.5000000000000002,0.2599924754443393,-0.2269467082743429,-1.3200000000000005,-0.0198719204496002,22.5
249109_Utility_discrimination_2024_2cat_2025-03-17_10h37.42.839,1,0.6521778544858223,0.6799999999999999,0.6780048171279542,0.7906964839110974,0.75,0.7699726321030151,-0.138518629425275,-0.07,-0.0919678149750609,0.4273616081519441,0.36,0.4017748710355253,-0.0525348215936079,-0.04,-0.0566043423939798,0.479896429745552,0.4,0.4583792134295052,22.5
699892_Utility_discrimination_2024_2cat_2025-03-15_14h12.47.943,1,0.1426956342053781,0.14,0.1353045396312802,0.2101534695223417,0.19,0.1958844476326507,-0.0674578353169635,-0.0499999999999999,-0.0605799080013705,-0.0726441581581726,-0.04,-0.0740148977199847,0.2999675020725187,0.21,0.269672075389307,-0.3726116602306913,-0.25,-0.3436869731092917,22.5
639188_Utility_discrimination_2024_2cat_2025-03-17_13h17.01.639,1,0.085892610446557,0.08,0.0819095149384256,0.3871936045727556,0.37,0.3747783161338993,-0.3013009941261986,-0.29,-0.2928688011954737,0.0747419087262535,0.1,0.0761231949099531,0.244058716518,0.2,0.2240757765139988,-0.1693168077917465,-0.1,-0.1479525816040456,22.5
872718_Utility_discrimination_2024_2cat_2025-03-18_22h58.34.246,1,1.7235526206331442,1.7000000000000002,1.7104802037959463,1.548297807224407,1.53,1.5359455331935856,0.1752548134087375,0.1700000000000001,0.1745346706023607,0.1006163068432383,0.1,0.0951533821677566,0.1019609015580033,0.1,0.0955244793436557,-0.001344594714765,0.0,-0.0003710971758991,22.5
